Sentence_video_path_front,Sentence_video_path_right,Sentence_video_path_left,ID_video,ID_sentence,group,view,scene,video_belong_id,Sentence,Sign_sentence,Category
Group1/Buoi_2/Front/2401_group1_02401_front_lab_061.mp4,Group1/Buoi_2/Right/2401_group1_02401_right_lab_061.mp4,Group1/Buoi_2/Left/2401_group1_02401_left_lab_061.mp4,2401,2401,group1,multi,lab,61,Đây là quảng cáo bán máy giặt cỡ lớn. Bạn có muốn xem không?,Đây | quảng cáo | máy giặt | cỡ lớn | bán . | Bạn | xem | muốn không?,Cuộc sống thường nhật
Group1/Buoi_2/Front/2402_group1_02402_front_lab_061.mp4,Group1/Buoi_2/Right/2402_group1_02402_right_lab_061.mp4,Group1/Buoi_2/Left/2402_group1_02402_left_lab_061.mp4,2402,2402,group1,multi,lab,61,Chào bạn. Tôi tự hỏi ngày mai tối bạn có rảnh không?,Chào bạn. | Tôi | tự hỏi | ngày mai | tối | bạn | rảnh | có không?,Mối quan hệ
Group1/Buoi_2/Front/2403_group1_02403_front_lab_061.mp4,Group1/Buoi_2/Right/2403_group1_02403_right_lab_061.mp4,Group1/Buoi_2/Left/2403_group1_02403_left_lab_061.mp4,2403,2403,group1,multi,lab,61,Hay là trả hết nợ?,Hay | nợ | trả | hết ?,Tài chính
Group1/Buoi_2/Front/2404_group1_02404_front_lab_061.mp4,Group1/Buoi_2/Right/2404_group1_02404_right_lab_061.mp4,Group1/Buoi_2/Left/2404_group1_02404_left_lab_061.mp4,2404,2404,group1,multi,lab,61,Kế hoạch của bạn là gì?,Kế hoạch | của bạn | gì?,Mối quan hệ
Group1/Buoi_2/Front/2405_group1_02405_front_lab_061.mp4,Group1/Buoi_2/Right/2405_group1_02405_right_lab_061.mp4,Group1/Buoi_2/Left/2405_group1_02405_left_lab_061.mp4,2405,2405,group1,multi,lab,61,"Chúng tôi khoảng 25 người, chúng tôi chi mỗi người 20 đô la.","Chúng tôi | người | khoảng | 25, | chúng tôi | chi | mỗi người | 20 đô la .",Du lịch
Group1/Buoi_2/Front/2406_group1_02406_front_lab_061.mp4,Group1/Buoi_2/Right/2406_group1_02406_right_lab_061.mp4,Group1/Buoi_2/Left/2406_group1_02406_left_lab_061.mp4,2406,2406,group1,multi,lab,61,Bạn cho tôi biết nó lấy thế nào?,Bạn | cho tôi | biết | nó | lấy | thế nào?,Sức khỏe
Group1/Buoi_2/Front/2407_group1_02407_front_lab_061.mp4,Group1/Buoi_2/Right/2407_group1_02407_right_lab_061.mp4,Group1/Buoi_2/Left/2407_group1_02407_left_lab_061.mp4,2407,2407,group1,multi,lab,61,Bạn cho tôi biết đây có phải đường đến đồn cảnh sát không?,Bạn | cho tôi | biết | đây | đường | đồn cảnh sát | đến | đúng không?,Cuộc sống thường nhật
Group1/Buoi_2/Front/2408_group1_02408_front_lab_061.mp4,Group1/Buoi_2/Right/2408_group1_02408_right_lab_061.mp4,Group1/Buoi_2/Left/2408_group1_02408_left_lab_061.mp4,2408,2408,group1,multi,lab,61,Tôi xem tôi có gì. Bạn cần nó để làm gì?,Tôi | xem | tôi | có |gì. | Bạn | nó | cần | để làm gì?,Cuộc sống thường nhật
Group1/Buoi_2/Front/2409_group1_02409_front_lab_061.mp4,Group1/Buoi_2/Right/2409_group1_02409_right_lab_061.mp4,Group1/Buoi_2/Left/2409_group1_02409_left_lab_061.mp4,2409,2409,group1,multi,lab,61,Chúng tôi mở cửa từ 9 giờ sáng đến 8 giờ tối.,Chúng tôi | mở cửa | từ | sáng | giờ | 9 | đến | tối | giờ | 8.,Cuộc sống thường nhật
Group1/Buoi_2/Front/2410_group1_02410_front_lab_061.mp4,Group1/Buoi_2/Right/2410_group1_02410_right_lab_061.mp4,Group1/Buoi_2/Left/2410_group1_02410_left_lab_061.mp4,2410,2410,group1,multi,lab,61,Bạn cần khai báo gì không?,Bạn | khai báo | cần | gì ?,Du lịch
Group1/Buoi_2/Front/2411_group1_02411_front_lab_061.mp4,Group1/Buoi_2/Right/2411_group1_02411_right_lab_061.mp4,Group1/Buoi_2/Left/2411_group1_02411_left_lab_061.mp4,2411,2411,group1,multi,lab,61,Cái đó có hiệu quả không?,Cái đó | hiệu quả | có không?,Thái độ và Cảm xúc
Group1/Buoi_2/Front/2412_group1_02412_front_lab_061.mp4,Group1/Buoi_2/Right/2412_group1_02412_right_lab_061.mp4,Group1/Buoi_2/Left/2412_group1_02412_left_lab_061.mp4,2412,2412,group1,multi,lab,61,Tôi hiểu rồi. Tôi là nữ. Có quyền lợi đặc biệt nào cho tôi không?,Tôi | hiểu | rồi. | Tôi | nữ. | Quyền lợi | đặc biệt | cho tôi | có không?,Công việc
Group1/Buoi_2/Front/2413_group1_02413_front_lab_061.mp4,Group1/Buoi_2/Right/2413_group1_02413_right_lab_061.mp4,Group1/Buoi_2/Left/2413_group1_02413_left_lab_061.mp4,2413,2413,group1,multi,lab,61,"Được, tôi giữ lời hứa.","Được, tôi | lời hứa | giữ.",Cuộc sống thường nhật
